#{"t_start": 1758460157.1506329, "env_id": "None"}
r,l,t
-110.0,11,0.65134
-32.0,32,0.66584
-32.0,32,0.678353
-32.0,32,0.690207
-22.0,32,0.707137
-108.0,11,0.711697
-31.0,32,0.725567
-101.0,2,0.726106
-104.0,5,0.727952
-104.0,5,0.729756
-32.0,32,0.742259
-104.0,5,0.744134
-104.0,5,0.745871
-104.0,5,0.747596
-104.0,5,0.749414
-104.0,5,0.75126
-104.0,5,0.753004
-104.0,5,0.754745
-103.0,4,0.755641
-104.0,5,0.757391
-104.0,5,0.759126
-32.0,32,0.771464
-19.0,32,0.78381
-21.0,32,0.797503
-30.0,32,0.813054
-125.0,28,0.825164
-102.0,3,0.825876
-103.0,5,0.827742
-111.0,12,0.832809
-109.0,10,0.836642
-101.0,2,0.837101
-101.0,2,0.837534
-104.0,5,0.839348
-101.0,2,0.840503
-101.0,2,0.840929
-101.0,2,0.842059
-101.0,2,0.84249
-101.0,2,0.842921
-101.0,2,0.844067
-103.0,4,0.845701
-105.0,6,0.847881
-112.0,13,0.852603
-105.0,6,0.85543
-104.0,6,0.857597
-28.0,32,0.870168
-118.0,29,0.881903
-102.0,3,0.883271
-24.0,32,0.895753
-29.0,32,0.909643
-27.0,32,0.924646
-113.0,20,0.932719
-27.0,32,0.945616
-27.0,32,0.959002
-108.0,9,0.962028
-115.0,20,0.969959
-17.0,32,0.982974
-16.0,32,0.995599
-24.0,32,1.008454
-101.0,2,1.008952
-101.0,2,1.009374
-107.0,11,1.013988
-20.0,32,1.030658
-21.0,32,1.043778
-25.0,32,1.057281
-101.0,2,1.057833
-22.0,32,1.071332
-19.0,32,1.083959
-28.0,32,1.096633
-18.0,32,1.110979
-13.0,32,1.128065
-25.0,32,1.141615
-21.0,32,1.154581
-16.0,32,1.167457
-17.0,32,1.180803
-23.0,32,1.193968
-19.0,32,1.207604
-25.0,32,1.220202
-22.0,32,1.236177
-19.0,32,1.249321
-22.0,32,1.263015
-20.0,32,1.276588
-19.0,32,1.289102
-104.0,5,1.291123
-101.0,2,1.291569
-28.0,32,1.304397
-104.0,5,1.306323
-101.0,2,1.306756
-110.0,13,1.31205
-101.0,2,1.312492
-22.0,32,1.325466
-21.0,32,1.341142
-101.0,2,1.3417
-26.0,32,1.3551
-101.0,2,1.355639
-101.0,2,1.356804
-17.0,32,1.369328
-18.0,32,1.381735
-101.0,2,1.382934
-101.0,2,1.383366
-101.0,2,1.384617
-27.0,32,1.397018
-103.0,4,1.398628
-17.0,32,1.411471
-23.0,32,1.424694
-102.0,3,1.425394
-18.0,32,1.441615
-102.0,3,1.442374
-106.0,8,1.44574
-107.0,8,1.448189
-21.0,32,1.461742
-107.0,9,1.465424
-16.0,32,1.477952
-22.0,32,1.490837
-19.0,32,1.504136
-101.0,2,1.504633
-16.0,32,1.517961
-20.0,32,1.530027
-107.0,10,1.533982
-101.0,2,1.53444
-101.0,2,1.535777
-24.0,32,1.574255
-24.0,32,1.59342
-17.0,32,1.606346
