#{"t_start": 1759647402.5067337, "env_id": "None"}
r,l,t
-1.0,1,0.044443
-1.0,1,0.078642
-0.5652033659852872,1,0.086663
-0.7021212629112428,1,0.101948
-0.5652033659852872,1,0.116352
-0.7021212629112428,1,0.125088
-0.5652033659852872,1,0.131871
-0.34215825119943893,1,0.139481
-0.3770432795872729,1,0.146166
-0.25152297958117087,1,0.151932
-0.5652033659852872,1,0.157996
-0.43730158524072377,1,0.164269
-0.2131061307448584,1,0.170232
-0.2131061307448584,1,0.176034
-0.5652033659852872,1,0.182536
-0.25152297958117087,1,0.194726
-0.1837410088325309,1,0.203273
-0.3770432795872729,1,0.20952
-0.27543532078163147,1,0.215363
-0.5161343660591518,1,0.220895
-0.27543532078163147,1,0.22621
-0.23748150056330444,1,0.232842
-0.27543532078163147,1,0.238995
-0.23748150056330444,1,0.244711
-0.27543532078163147,1,0.250526
-0.23748150056330444,1,0.255963
-0.1837410088325309,1,0.26105
-0.14216163468192644,1,0.266065
-0.3770432795872729,1,0.271
-0.14216163468192644,1,0.276183
-0.1837410088325309,1,0.280584
-0.25152297958117087,1,0.287039
-0.10385103666167887,1,0.29189
-0.2131061307448584,1,0.297242
-0.1837410088325309,1,0.302284
-0.10385103666167887,1,0.307636
-0.2131061307448584,1,0.312697
-0.10385103666167887,1,0.318026
-0.10385103666167887,1,0.322984
-0.2131061307448584,1,0.329381
-0.31945484492109855,1,0.335075
-0.2131061307448584,1,0.339961
-0.27543532078163147,1,0.346654
-0.34215825119943893,1,0.353707
-0.3770432795872729,1,0.359009
-0.16674081109356437,1,0.364087
-0.15567697041701545,1,0.369318
-0.16674081109356437,1,0.374262
-0.2131061307448584,1,0.379436
-0.16674081109356437,1,0.384514
-0.10385103666167887,1,0.389859
-0.1479103997378968,1,0.394925
-0.17154914510019745,1,0.400387
-0.15456043713347997,1,0.405846
-0.2131061307448584,1,0.410964
-0.16488162386787586,1,0.416464
-0.17154914510019745,1,0.421657
-0.12218142516585494,1,0.426724
-0.2131061307448584,1,0.431906
