#{"t_start": 1753645110.411496, "env_id": "None"}
r,l,t
-1.0,1,0.12852
-1.0,1,0.35026
-1.0,1,0.412601
-1.0,1,0.494987
-1.0,1,0.56519
-1.0,1,0.635963
-1.0,1,0.693329
-0.7777777777777778,1,0.753886
-0.6666666666666666,1,0.81085
-0.4666666666666667,1,0.872142
-0.5,1,0.945271
-0.625,1,1.021947
-0.8333333333333334,1,1.087578
-0.625,1,1.147506
-0.5,1,1.252979
-0.4166666666666667,1,1.312214
-0.26666666666666666,1,1.379171
-0.14285714285714285,1,1.434696
-0.14285714285714285,1,1.49546
-0.20833333333333334,1,1.564885
-0.19047619047619047,1,1.642867
-0.125,1,1.701206
-0.1111111111111111,1,1.757796
-0.1111111111111111,1,1.808456
-0.05714285714285714,1,1.857775
-0.1111111111111111,1,1.912412
-0.1111111111111111,1,1.970163
-0.14285714285714285,1,2.028261
-0.14285714285714285,1,2.088755
-0.20833333333333334,1,2.175084
-0.1111111111111111,1,2.237959
-0.1111111111111111,1,2.293031
-0.05555555555555555,1,2.346601
-0.1111111111111111,1,2.410815
-0.05555555555555555,1,2.480273
-0.1111111111111111,1,2.555257
-0.1111111111111111,1,2.645526
-0.1111111111111111,1,2.713791
-0.1111111111111111,1,2.782264
-0.125,1,2.846071
-0.10714285714285714,1,2.920528
-0.14285714285714285,1,2.976024
-0.07142857142857142,1,3.036188
-0.08333333333333333,1,3.099267
-0.14285714285714285,1,3.16579
-0.2,1,3.221569
-0.14285714285714285,1,3.282552
-0.16666666666666666,1,3.35897
-0.14285714285714285,1,3.411982
-0.16666666666666666,1,3.474037
-0.14285714285714285,1,3.536515
-0.1836734693877551,1,3.587847
-0.09523809523809523,1,3.647564
-0.1836734693877551,1,3.712753
-0.23809523809523808,1,3.773516
-0.125,1,3.837818
-0.14814814814814814,1,3.892611
-0.15555555555555556,1,3.943263
-0.16666666666666666,1,3.993413
-0.3333333333333333,1,4.049587
-0.16666666666666666,1,4.100508
-0.1,1,4.154218
-0.13636363636363635,1,4.21842
-0.2,1,4.268567
-0.16666666666666666,1,4.331792
-0.15,1,4.390602
-0.2,1,4.448611
-0.15,1,4.509582
-0.16666666666666666,1,4.570388
-0.1111111111111111,1,4.623699
-0.1111111111111111,1,4.677133
-0.2,1,4.72536
-0.1111111111111111,1,4.78686
-0.2,1,4.838862
-0.2,1,4.898
-0.1111111111111111,1,4.948555
-0.18518518518518517,1,5.003976
-0.16666666666666666,1,5.066691
-0.14285714285714285,1,5.121673
-0.14285714285714285,1,5.179846
-0.19047619047619047,1,5.227695
-0.1836734693877551,1,5.285003
-0.19047619047619047,1,5.338478
-0.16666666666666666,1,5.392718
-0.09523809523809523,1,5.450422
-0.08333333333333333,1,5.507673
-0.07142857142857142,1,5.562712
-0.20833333333333334,1,5.616264
-0.07142857142857142,1,5.673868
-0.14285714285714285,1,5.730063
-0.11428571428571428,1,5.783107
-0.075,1,5.843996
-0.06818181818181818,1,5.900015
-0.075,1,5.951204
-0.08888888888888889,1,6.014956
-0.010101010101010102,1,6.077056
-0.11363636363636363,1,6.140156
-0.06493506493506493,1,6.215645
-0.08571428571428572,1,6.290736
-0.075,1,6.357999
-0.08571428571428572,1,6.415995
-0.1,1,6.479092
-0.08333333333333333,1,6.60436
-0.075,1,6.662377
-0.11428571428571428,1,6.725506
-0.1,1,6.791306
-0.08571428571428572,1,6.851056
-0.09090909090909091,1,6.910486
-0.09090909090909091,1,6.972111
-0.1111111111111111,1,7.021538
-0.15151515151515152,1,7.073026
-0.06493506493506493,1,7.150445
-0.08571428571428572,1,7.211878
-0.075,1,7.272455
-0.17142857142857143,1,7.345701
-0.05,1,7.410734
-0.1111111111111111,1,7.47163
-0.05,1,7.541494
-0.11428571428571428,1,7.600507
-0.125,1,7.660717
-0.08571428571428572,1,7.728703
-0.07936507936507936,1,7.784148
-0.11428571428571428,1,7.842457
-0.047619047619047616,1,7.917952
-0.10714285714285714,1,7.979226
-0.20833333333333334,1,8.039058
-0.19047619047619047,1,8.119407
-0.20833333333333334,1,8.181014
-0.23809523809523808,1,8.241101
-0.125,1,8.317061
-0.17857142857142858,1,8.374984
-0.1836734693877551,1,8.427985
-0.17857142857142858,1,8.510015
-0.09375,1,8.565292
-0.05555555555555555,1,8.628084
-0.125,1,8.692568
-0.05555555555555555,1,8.758299
-0.125,1,8.814832
-0.1111111111111111,1,8.886034
-0.0625,1,8.943983
-0.1111111111111111,1,9.001809
-0.15625,1,9.067146
-0.14285714285714285,1,9.131484
-0.14285714285714285,1,9.187601
-0.14285714285714285,1,9.257697
-0.0625,1,9.314539
-0.07142857142857142,1,9.371046
-0.08333333333333333,1,9.445396
-0.14285714285714285,1,9.52467
-0.10204081632653061,1,9.587512
-0.14285714285714285,1,9.675731
-0.2,1,9.761677
-0.26666666666666666,1,9.841907
-0.2,1,9.938136
-0.26666666666666666,1,10.008693
-0.2571428571428571,1,10.07087
-0.26666666666666666,1,10.147332
-0.08571428571428572,1,10.227263
-0.14285714285714285,1,10.312325
-0.2,1,10.399951
-0.25,1,10.468221
-0.2,1,10.544527
-0.15,1,10.635024
-0.25,1,10.719745
-0.2,1,10.798011
-0.20833333333333334,1,10.876882
-0.17857142857142858,1,10.932347
-0.1111111111111111,1,11.012082
-0.14285714285714285,1,11.10175
-0.1746031746031746,1,11.168858
-0.05555555555555555,1,11.250207
-0.1,1,11.325276
-0.06666666666666667,1,11.38071
-0.1111111111111111,1,11.440484
-0.1111111111111111,1,11.529634
-0.075,1,11.598741
-0.14285714285714285,1,11.679078
-0.075,1,11.764211
-0.1111111111111111,1,11.831843
-0.1,1,11.908535
-0.08888888888888889,1,11.988449
-0.04,1,12.049987
-0.09090909090909091,1,12.122072
-0.08,1,12.200198
-0.022222222222222223,1,12.263954
-0.1,1,12.341058
-0.08571428571428572,1,12.427234
-0.1,1,12.485038
-0.06666666666666667,1,12.542783
-0.04,1,12.612531
-0.05454545454545454,1,12.672493
-0.0743801652892562,1,12.726069
-0.06060606060606061,1,12.801086
-0.06666666666666667,1,12.863764
-0.03636363636363636,1,12.925653
-0.1,1,12.985042
-0.07272727272727272,1,13.050011
-0.024793388429752067,1,13.108722
-0.09090909090909091,1,13.179522
-0.04132231404958678,1,13.241024
-0.07272727272727272,1,13.29127
-0.08,1,13.380975
-0.07272727272727272,1,13.439077
-0.03333333333333333,1,13.489411
-0.06060606060606061,1,13.565931
-0.027777777777777776,1,13.621818
-0.06060606060606061,1,13.681045
-0.02097902097902098,1,13.744733
-0.07692307692307693,1,13.817955
