r,l,t
-1.0,1,0.036765
-1.0,1,0.082677
-0.3333333333333333,1,0.097922
-0.5,1,0.122065
-0.6666666666666666,1,0.141292
-0.25,1,0.156609
-0.6666666666666666,1,0.1956
-1.0,1,0.225424
-0.3333333333333333,1,0.249328
-1.0,1,0.271019
-0.6666666666666666,1,0.293074
-0.25,1,0.310227
-0.6666666666666666,1,0.324321
-0.3333333333333333,1,0.338053
-0.3333333333333333,1,0.351464
-0.3333333333333333,1,0.367347
-0.16666666666666666,1,0.387341
-0.3333333333333333,1,0.402802
0.0,1,0.417487
-1.0,1,0.431654
-0.5,1,0.450268
-0.3333333333333333,1,0.470149
-0.1111111111111111,1,0.486517
-0.16666666666666666,1,0.503318
-0.25,1,0.517121
-0.16666666666666666,1,0.529461
-0.25,1,0.547469
-0.6666666666666666,1,0.569344
-0.5,1,0.589315
-0.3333333333333333,1,0.604862
-0.5,1,0.62184
-0.3333333333333333,1,0.634358
-0.3333333333333333,1,0.651698
-0.3333333333333333,1,0.665909
-0.25,1,0.680982
-0.16666666666666666,1,0.700991
-0.3333333333333333,1,0.717061
-0.3333333333333333,1,0.731545
-0.25,1,0.746781
0.0,1,0.76273
-1.0,1,0.780829
-1.0,1,0.799505
-1.0,1,0.818127
-1.0,1,0.834449
-1.0,1,0.850635
-0.25,1,0.863635
-0.16666666666666666,1,0.880568
-0.25,1,0.899861
-1.0,1,0.917933
-0.25,1,0.938047
-1.0,1,0.957999
-1.0,1,0.971029
-1.0,1,0.987094
-1.0,1,1.006616
-1.0,1,1.025335
-1.0,1,1.040725
0.0,1,1.056891
-1.0,1,1.073378
-1.0,1,1.090286
-1.0,1,1.103074
-1.0,1,1.115324
-1.0,1,1.132211
-1.0,1,1.149569
-1.0,1,1.165038
-1.0,1,1.177784
-1.0,1,1.187147
-1.0,1,1.201682
-1.0,1,1.214991
-0.25,1,1.234043
-0.6666666666666666,1,1.249116
-0.25,1,1.270421
-1.0,1,1.286815
-1.0,1,1.300307
-1.0,1,1.320999
-0.5,1,1.336204
-1.0,1,1.349543
-1.0,1,1.364874
-1.0,1,1.378729
-1.0,1,1.398518
-1.0,1,1.41963
-0.25,1,1.437198
-0.3333333333333333,1,1.461536
-0.5,1,1.476523
-0.6666666666666666,1,1.491652
-0.25,1,1.507232
-0.16666666666666666,1,1.520139
-0.25,1,1.535108
-0.16666666666666666,1,1.54867
-0.25,1,1.561599
-0.16666666666666666,1,1.576815
-0.3333333333333333,1,1.59198
-0.16666666666666666,1,1.606761
-0.25,1,1.625751
-0.16666666666666666,1,1.643801
-0.3333333333333333,1,1.664719
-0.16666666666666666,1,1.681616
-0.3333333333333333,1,1.696127
0.0,1,1.709717
-1.0,1,1.725446
-1.0,1,1.742271
-1.0,1,1.757747
-0.5,1,1.775392
-0.6666666666666666,1,1.792144
-0.5,1,1.807726
-1.0,1,1.829443
-1.0,1,1.844395
-1.0,1,1.855124
-1.0,1,1.870224
-0.6666666666666666,1,1.890833
-1.0,1,1.915928
-0.3333333333333333,1,1.932702
-0.5,1,1.947224
-0.6666666666666666,1,1.966799
-0.1111111111111111,1,1.982402
-0.6666666666666666,1,1.996982
-1.0,1,2.009682
-0.6666666666666666,1,2.035733
-0.5,1,2.055532
-0.3333333333333333,1,2.069646
-0.3333333333333333,1,2.087551
-0.16666666666666666,1,2.117917
-0.25,1,2.141996
-0.3333333333333333,1,2.160456
-0.25,1,2.17551
-0.16666666666666666,1,2.200631
-0.25,1,2.224247
-0.16666666666666666,1,2.241164
-0.25,1,2.256871
-0.16666666666666666,1,2.278072
-0.3333333333333333,1,2.294782
-0.16666666666666666,1,2.308989
-0.25,1,2.323976
-0.16666666666666666,1,2.344486
-0.25,1,2.361003
-0.16666666666666666,1,2.380414
-0.25,1,2.411683
-0.6666666666666666,1,2.436963
-0.25,1,2.452503
0.0,1,2.469254
-1.0,1,2.486774
-1.0,1,2.512284
-0.3333333333333333,1,2.529724
-0.25,1,2.545897
-0.16666666666666666,1,2.561017
-0.3333333333333333,1,2.586718
-0.16666666666666666,1,2.610376
-0.25,1,2.622055
-0.16666666666666666,1,2.638433
-0.25,1,2.662366
-0.16666666666666666,1,2.684949
-0.25,1,2.702423
-0.3333333333333333,1,2.719896
-1.0,1,2.74137
-1.0,1,2.759393
-1.0,1,2.776304
-0.6666666666666666,1,2.796401
-0.3333333333333333,1,2.813445
-0.16666666666666666,1,2.830534
-0.1111111111111111,1,2.845994
-0.16666666666666666,1,2.860756
-0.25,1,2.888344
-0.16666666666666666,1,2.908798
-0.25,1,2.92875
0.0,1,2.946163
-1.0,1,2.974694
-1.0,1,2.989031
-1.0,1,3.003895
-1.0,1,3.019866
-1.0,1,3.039862
-0.25,1,3.058527
-1.0,1,3.071653
-0.25,1,3.088242
-0.16666666666666666,1,3.111139
-0.25,1,3.132639
-0.16666666666666666,1,3.148769
-0.3333333333333333,1,3.164939
0.0,1,3.184217
-1.0,1,3.201553
-0.5,1,3.215665
-0.3333333333333333,1,3.234472
-0.1111111111111111,1,3.264887
-0.6666666666666666,1,3.295224
-1.0,1,3.318499
-0.6666666666666666,1,3.350226
-0.3333333333333333,1,3.390446
-0.6666666666666666,1,3.411619
-0.1111111111111111,1,3.433195
-0.6666666666666666,1,3.447436
-0.25,1,3.466619
0.0,1,3.484698
-1.0,1,3.501815
-1.0,1,3.518903
-1.0,1,3.539581
-1.0,1,3.556143
-0.3333333333333333,1,3.569341
-0.25,1,3.583451
-0.6666666666666666,1,3.601229
-0.25,1,3.622808
-0.3333333333333333,1,3.640331
-1.0,1,3.655498
-0.6666666666666666,1,3.681847
-1.0,1,3.704261
-0.3333333333333333,1,3.722533
-1.0,1,3.739447
-0.6666666666666666,1,3.762086
-0.1111111111111111,1,3.783218
-0.6666666666666666,1,3.797636
-1.0,1,3.8118
-1.0,1,3.835753
-1.0,1,3.854942
-0.6666666666666666,1,3.870481
-1.0,1,3.88639
-1.0,1,3.914503
-1.0,1,3.934448
-0.6666666666666666,1,3.957176
-1.0,1,3.977912
-0.6666666666666666,1,4.003853
-1.0,1,4.027997
-0.6666666666666666,1,4.044475
-0.25,1,4.062509
-0.6666666666666666,1,4.08891
-1.0,1,4.111328
-0.6666666666666666,1,4.134445
-0.3333333333333333,1,4.160414
-0.3333333333333333,1,4.188302
-1.0,1,4.210608
-1.0,1,4.229925
-0.25,1,4.251682
-0.16666666666666666,1,4.27685
-0.25,1,4.299553
-0.16666666666666666,1,4.320202
-0.1111111111111111,1,4.334262
-0.16666666666666666,1,4.359219
-0.25,1,4.380769
0.0,1,4.398875
-1.0,1,4.413213
-1.0,1,4.431437
-0.6666666666666666,1,4.451565
-0.1111111111111111,1,4.466664
-0.6666666666666666,1,4.484195
-0.1111111111111111,1,4.507988
-0.16666666666666666,1,4.523422
-0.3333333333333333,1,4.539879
0.0,1,4.559536
-1.0,1,4.644391
-1.0,1,4.661789
-0.6666666666666666,1,4.682005
-0.3333333333333333,1,4.703936
-0.16666666666666666,1,4.729143
-0.25,1,4.747789
-0.16666666666666666,1,4.765229
-0.25,1,4.784037
0.0,1,4.808027
-1.0,1,4.82833
-1.0,1,4.843077
-0.6666666666666666,1,4.858768
-0.1111111111111111,1,4.881798
-0.16666666666666666,1,4.900264
-0.1111111111111111,1,4.916366
-0.16666666666666666,1,4.9319
-0.1111111111111111,1,4.949829
-0.3333333333333333,1,4.966754
-0.25,1,4.988676
0.0,1,5.004282
-1.0,1,5.032444
-1.0,1,5.054273
-0.6666666666666666,1,5.072261
-0.1111111111111111,1,5.104197
-0.16666666666666666,1,5.126038
-0.1111111111111111,1,5.147283
-0.6666666666666666,1,5.163312
-0.1111111111111111,1,5.177397
-0.6666666666666666,1,5.199595
-0.25,1,5.214576
0.0,1,5.230001
-1.0,1,5.244199
-1.0,1,5.263779
-0.6666666666666666,1,5.281269
-1.0,1,5.296466
-0.6666666666666666,1,5.315268
-0.3333333333333333,1,5.337184
-0.6666666666666666,1,5.353989
-0.5,1,5.368151
-0.6666666666666666,1,5.382575
-1.0,1,5.406903
-0.6666666666666666,1,5.421275
-1.0,1,5.433736
-0.3333333333333333,1,5.446534
-1.0,1,5.465478
-0.3333333333333333,1,5.480537
-0.25,1,5.497916
0.0,1,5.511506
-1.0,1,5.531486
-1.0,1,5.550629
-0.6666666666666666,1,5.572205
-1.0,1,5.588962
-0.6666666666666666,1,5.619683
-1.0,1,5.639386
-0.6666666666666666,1,5.658964
-1.0,1,5.681009
-0.3333333333333333,1,5.706949
-0.3333333333333333,1,5.729277
-0.16666666666666666,1,5.744886
-0.3333333333333333,1,5.7605
-0.16666666666666666,1,5.780314
-0.3333333333333333,1,5.799085
-0.3333333333333333,1,5.81494
-0.25,1,5.82806
-0.16666666666666666,1,5.855004
-0.1111111111111111,1,5.873199
-0.3333333333333333,1,5.887374
-0.3333333333333333,1,5.901055
-0.16666666666666666,1,5.928244
-0.25,1,5.942155
-1.0,1,5.959667
-0.25,1,5.97925
-0.16666666666666666,1,5.999725
-0.25,1,6.018041
-0.16666666666666666,1,6.035428
-0.1111111111111111,1,6.052287
-0.6666666666666666,1,6.072594
-0.25,1,6.091656
-0.6666666666666666,1,6.104091
-1.0,1,6.117715
-0.3333333333333333,1,6.140471
-0.5,1,6.164261
-0.3333333333333333,1,6.184594
-0.1111111111111111,1,6.201887
-0.6666666666666666,1,6.224101
-0.25,1,6.277122
-0.16666666666666666,1,6.297161
-0.25,1,6.316802
-0.16666666666666666,1,6.337585
-0.1111111111111111,1,6.357714
-0.16666666666666666,1,6.372695
-0.25,1,6.388251
-0.16666666666666666,1,6.414648
-0.25,1,6.433676
-0.16666666666666666,1,6.446781
-0.3333333333333333,1,6.459708
-0.6666666666666666,1,6.485888
-1.0,1,6.500245
-0.3333333333333333,1,6.518811
-0.3333333333333333,1,6.53267
-0.6666666666666666,1,6.552268
-0.25,1,6.572399
-0.16666666666666666,1,6.585706
-0.25,1,6.599961
-0.16666666666666666,1,6.619627
-0.3333333333333333,1,6.641311
-0.16666666666666666,1,6.661944
-0.3333333333333333,1,6.681837
0.0,1,6.709164
-1.0,1,6.813502
-1.0,1,6.84068
-0.3333333333333333,1,6.868462
-0.3333333333333333,1,6.888875
-0.16666666666666666,1,6.908252
-0.1111111111111111,1,6.923366
-0.16666666666666666,1,6.937213
-0.25,1,6.958699
0.0,1,6.974335
-1.0,1,6.986697
-1.0,1,7.000001
-1.0,1,7.020576
-0.5,1,7.038961
-1.0,1,7.055801
-1.0,1,7.070201
-0.3333333333333333,1,7.093582
-0.5,1,7.107511
-1.0,1,7.117986
-0.5,1,7.13034
-0.3333333333333333,1,7.150726
-1.0,1,7.176969
-0.3333333333333333,1,7.19922
-1.0,1,7.216349
-0.6666666666666666,1,7.243737
-0.25,1,7.261218
-1.0,1,7.279592
-0.25,1,7.2985
-0.3333333333333333,1,7.318423
-0.3333333333333333,1,7.335436
-0.3333333333333333,1,7.348727
-0.1111111111111111,1,7.369602
-0.3333333333333333,1,7.404917
-0.5,1,7.42218
-1.0,1,7.437493
-1.0,1,7.450279
-1.0,1,7.46773
-1.0,1,7.486682
-0.3333333333333333,1,7.506581
-0.1111111111111111,1,7.527591
-0.16666666666666666,1,7.556091
-0.25,1,7.575314
-0.16666666666666666,1,7.597091
-0.1111111111111111,1,7.613775
-0.16666666666666666,1,7.63623
-0.3333333333333333,1,7.656511
-0.16666666666666666,1,7.674592
-0.3333333333333333,1,7.687848
0.0,1,7.710683
-1.0,1,7.729412
-0.5,1,7.745886
-0.3333333333333333,1,7.763171
-0.1111111111111111,1,7.785706
-0.16666666666666666,1,7.81029
-0.25,1,7.823765
-0.16666666666666666,1,7.836961
-0.3333333333333333,1,7.858507
-0.16666666666666666,1,7.886674
-0.25,1,7.902812
-0.16666666666666666,1,7.917861
-0.1111111111111111,1,7.940378
-0.16666666666666666,1,7.964464
-0.1111111111111111,1,7.981003
-0.16666666666666666,1,7.995592
-0.25,1,8.026134
-0.16666666666666666,1,8.043149
-0.25,1,8.061208
-0.16666666666666666,1,8.079161
-0.3333333333333333,1,8.101843
-0.3333333333333333,1,8.125545
-1.0,1,8.147357
-0.3333333333333333,1,8.164643
-1.0,1,8.196224
-0.3333333333333333,1,8.21398
-1.0,1,8.231755
-0.3333333333333333,1,8.253192
-1.0,1,8.283489
-1.0,1,8.299614
-0.5,1,8.321803
-0.3333333333333333,1,8.33882
-1.0,1,8.359729
-0.3333333333333333,1,8.380407
-1.0,1,8.39852
-0.6666666666666666,1,8.412945
-0.25,1,8.435068
-1.0,1,8.454926
-0.25,1,8.470661
-1.0,1,8.485716
-1.0,1,8.509575
-0.6666666666666666,1,8.530602
-0.5,1,8.54906
-0.3333333333333333,1,8.565121
-0.25,1,8.591239
-0.16666666666666666,1,8.615107
-0.25,1,8.63548
-0.16666666666666666,1,8.656934
-0.25,1,8.68359
-1.0,1,8.70669
-1.0,1,8.723705
-0.6666666666666666,1,8.742838
-0.25,1,8.772466
-1.0,1,8.793855
-1.0,1,8.809957
-0.3333333333333333,1,8.832314
-1.0,1,8.86252
-1.0,1,8.881704
-0.5,1,8.903905
-0.3333333333333333,1,8.919101
-1.0,1,8.948995
-1.0,1,8.963866
-1.0,1,8.997183
-0.6666666666666666,1,9.017448
-0.1111111111111111,1,9.04505
-0.6666666666666666,1,9.067303
-0.5,1,9.086209
-0.3333333333333333,1,9.10358
-1.0,1,9.128217
-0.6666666666666666,1,9.154031
-1.0,1,9.173507
-0.6666666666666666,1,9.194567
-1.0,1,9.221594
-0.6666666666666666,1,9.24225
-0.25,1,9.261401
-0.16666666666666666,1,9.279659
-0.1111111111111111,1,9.306593
-0.6666666666666666,1,9.32552
-0.3333333333333333,1,9.345225
-0.6666666666666666,1,9.364972
-1.0,1,9.392728
-0.3333333333333333,1,9.412078
-0.3333333333333333,1,9.427003
-0.6666666666666666,1,9.443742
-0.3333333333333333,1,9.466894
-0.3333333333333333,1,9.48495
-1.0,1,9.504929
-0.3333333333333333,1,9.524082
-0.3333333333333333,1,9.557017
-0.3333333333333333,1,9.573044
-0.3333333333333333,1,9.590085
