#{"t_start": 1758230554.0287676, "env_id": "None"}
r,l,t
-1.0,1,0.03544
-0.5,1,0.156845
-0.3333333333333333,1,0.251313
-0.5,1,0.317301
-0.6666666666666666,1,0.381093
-0.5,1,0.438251
-1.0,1,0.501948
-1.0,1,0.560243
-0.8,1,0.616171
-0.6666666666666666,1,0.701284
-0.3333333333333333,1,0.784765
-0.25,1,0.835972
-0.2,1,0.891782
-0.16666666666666666,1,0.946976
-0.2,1,0.999812
-0.25,1,1.057834
-0.21428571428571427,1,1.106067
-0.25,1,1.158037
-0.14285714285714285,1,1.205511
-0.2571428571428571,1,1.249483
-0.15,1,1.310297
-0.1111111111111111,1,1.367469
-0.12,1,1.418901
-0.1,1,1.467266
-0.12,1,1.514884
-0.1,1,1.563371
-0.12,1,1.621563
-0.1111111111111111,1,1.665844
-0.16666666666666666,1,1.70609
-0.125,1,1.76501
-0.2,1,1.813118
-0.1111111111111111,1,1.858502
-0.1111111111111111,1,1.908025
-0.16666666666666666,1,1.965344
-0.10714285714285714,1,2.014166
-0.125,1,2.062951
-0.15,1,2.110445
-0.2571428571428571,1,2.159619
-0.13333333333333333,1,2.212144
-0.2,1,2.259858
-0.2,1,2.315872
-0.2,1,2.36927
-0.26666666666666666,1,2.410922
-0.08571428571428572,1,2.465112
-0.2,1,2.524699
-0.08571428571428572,1,2.569524
-0.15,1,2.615474
-0.125,1,2.667705
-0.15,1,2.710441
-0.1875,1,2.764305
-0.25,1,2.815743
-0.23809523809523808,1,2.864803
-0.14285714285714285,1,2.914209
-0.2,1,2.962516
-0.14285714285714285,1,3.00633
-0.1875,1,3.056434
-0.2222222222222222,1,3.110641
-0.1875,1,3.156773
-0.1111111111111111,1,3.203991
-0.1111111111111111,1,3.254291
-0.2,1,3.308715
-0.08333333333333333,1,3.354557
-0.14285714285714285,1,3.423147
-0.2,1,3.476363
-0.19047619047619047,1,3.521599
-0.14285714285714285,1,3.574252
-0.047619047619047616,1,3.628973
-0.14285714285714285,1,3.668821
-0.06666666666666667,1,3.721312
-0.16666666666666666,1,3.770196
-0.14285714285714285,1,3.814821
-0.42857142857142855,1,3.860043
-0.14285714285714285,1,3.904287
-0.16666666666666666,1,3.948122
-0.2,1,3.999506
-0.25,1,4.04873
-0.26666666666666666,1,4.099835
-0.1111111111111111,1,4.142312
-0.09523809523809523,1,4.196954
-0.1111111111111111,1,4.247226
-0.2,1,4.307988
-0.12,1,4.355313
-0.2,1,4.407784
-0.14285714285714285,1,4.453554
-0.15,1,4.507651
-0.14285714285714285,1,4.560128
-0.2,1,4.617758
-0.14285714285714285,1,4.661772
-0.2,1,4.712942
-0.14285714285714285,1,4.767442
-0.09523809523809523,1,4.821097
-0.2,1,4.874167
-0.09523809523809523,1,4.923607
-0.2,1,4.978383
-0.1,1,5.032849
-0.08571428571428572,1,5.080234
-0.2,1,5.131707
-0.125,1,5.179604
-0.07142857142857142,1,5.234711
-0.10204081632653061,1,5.285195
-0.14285714285714285,1,5.343189
-0.08571428571428572,1,5.403712
-0.1,1,5.470197
-0.16666666666666666,1,5.534586
-0.1111111111111111,1,5.592143
-0.07936507936507936,1,5.661867
-0.10714285714285714,1,5.714777
-0.10204081632653061,1,5.768208
-0.14285714285714285,1,5.83489
-0.041666666666666664,1,5.888691
-0.14285714285714285,1,5.947547
-0.2,1,6.011799
-0.14285714285714285,1,6.071316
-0.1875,1,6.127699
-0.15,1,6.184582
-0.041666666666666664,1,6.238861
-0.15,1,6.295047
-0.1111111111111111,1,6.358454
-0.2222222222222222,1,6.413021
-0.1875,1,6.454474
-0.15,1,6.503969
-0.1875,1,6.548159
-0.25,1,6.60106
-0.1875,1,6.659116
-0.25,1,6.719431
-0.1875,1,6.769754
-0.14285714285714285,1,6.828507
-0.08571428571428572,1,6.888946
-0.14285714285714285,1,6.940554
-0.1111111111111111,1,6.999241
-0.14285714285714285,1,7.04391
-0.1111111111111111,1,7.089149
-0.2,1,7.146154
-0.2,1,7.206616
-0.13333333333333333,1,7.259172
-0.25,1,7.314682
-0.4,1,7.367038
-0.12,1,7.439262
-0.13333333333333333,1,7.497709
-0.08571428571428572,1,7.553657
-0.14285714285714285,1,7.607766
-0.125,1,7.668566
-0.037037037037037035,1,7.719512
-0.1111111111111111,1,7.769699
-0.10714285714285714,1,7.817866
-0.08333333333333333,1,7.869786
-0.19047619047619047,1,7.921745
-0.1111111111111111,1,7.973328
-0.26666666666666666,1,8.023304
-0.28,1,8.080274
-0.2,1,8.144329
-0.1111111111111111,1,8.184331
-0.06666666666666667,1,8.236811
-0.08571428571428572,1,8.293509
-0.14285714285714285,1,8.338025
-0.2571428571428571,1,8.394585
-0.13333333333333333,1,8.437439
-0.16666666666666666,1,8.492831
-0.09523809523809523,1,8.531196
-0.1111111111111111,1,8.580111
-0.13333333333333333,1,8.626023
-0.25,1,8.669706
-0.2,1,8.71372
-0.3333333333333333,1,8.754858
-0.1111111111111111,1,8.797931
-0.23809523809523808,1,8.85251
-0.2857142857142857,1,8.89492
-0.25,1,8.942777
-0.3,1,8.996864
-0.16666666666666666,1,9.041699
-0.3333333333333333,1,9.089258
-0.23809523809523808,1,9.153532
-0.16666666666666666,1,9.192901
-0.375,1,9.239131
-0.2222222222222222,1,9.303725
-0.1,1,9.34452
-0.26666666666666666,1,9.382213
-0.25925925925925924,1,9.433576
-0.3333333333333333,1,9.48468
-0.1875,1,9.521185
-0.16666666666666666,1,9.573525
-0.3125,1,9.621445
-0.16666666666666666,1,9.66696
-0.125,1,9.715294
-0.2,1,9.763543
-0.2,1,9.804463
-0.21428571428571427,1,9.849977
-0.25,1,9.90243
-0.2857142857142857,1,9.94127
-0.02857142857142857,1,9.990414
-0.2,1,10.033705
-0.14285714285714285,1,10.086429
-0.2,1,10.154434
-0.2,1,10.200907
-0.13333333333333333,1,10.254004
-0.1111111111111111,1,10.306065
-0.047619047619047616,1,10.350878
-0.16666666666666666,1,10.392678
-0.26666666666666666,1,10.445105
-0.1111111111111111,1,10.48749
-0.047619047619047616,1,10.543789
-0.16666666666666666,1,10.59608
-0.09523809523809523,1,10.641505
-0.2,1,10.683296
-0.09523809523809523,1,10.737524
-0.16666666666666666,1,10.782396
-0.2,1,10.830743
-0.16666666666666666,1,10.887469
-0.26666666666666666,1,10.936646
-0.1111111111111111,1,10.976398
-0.09523809523809523,1,11.029156
-0.1111111111111111,1,11.074074
-0.09523809523809523,1,11.112025
-0.14285714285714285,1,11.171471
-0.09523809523809523,1,11.238131
-0.16666666666666666,1,11.278495
-0.26666666666666666,1,11.32461
-0.2222222222222222,1,11.367435
-0.09523809523809523,1,11.407275
-0.2,1,11.452749
-0.2,1,11.498092
-0.08333333333333333,1,11.538814
-0.14814814814814814,1,11.597275
-0.125,1,11.654793
-0.09523809523809523,1,11.705731
-0.061224489795918366,1,11.759292
-0.10714285714285714,1,11.810996
-0.08333333333333333,1,11.863632
-0.10714285714285714,1,11.916253
-0.0625,1,11.960859
-0.10714285714285714,1,12.004993
-0.0625,1,12.048496
-0.14285714285714285,1,12.096923
-0.0625,1,12.150032
-0.10714285714285714,1,12.198641
-0.10204081632653061,1,12.240377
-0.07142857142857142,1,12.285182
-0.1836734693877551,1,12.337993
-0.09523809523809523,1,12.388975
-0.1836734693877551,1,12.433949
-0.09523809523809523,1,12.47946
-0.125,1,12.524053
-0.1,1,12.569319
-0.02857142857142857,1,12.616939
-0.19047619047619047,1,12.665909
-0.08333333333333333,1,12.706593
-0.10714285714285714,1,12.761278
-0.041666666666666664,1,12.804177
-0.17857142857142858,1,12.844151
-0.07936507936507936,1,12.891856
-0.08333333333333333,1,12.933472
-0.1,1,12.977126
-0.05714285714285714,1,13.023522
-0.1,1,13.064833
-0.05714285714285714,1,13.106963
-0.1,1,13.164087
-0.05714285714285714,1,13.220993
-0.1,1,13.265107
-0.05714285714285714,1,13.323141
-0.1,1,13.368275
-0.022222222222222223,1,13.413178
-0.08641975308641975,1,13.465441
-0.05555555555555555,1,13.512981
-0.1111111111111111,1,13.564692
-0.022222222222222223,1,13.631109
-0.08641975308641975,1,13.690654
-0.05555555555555555,1,13.743921
-0.0625,1,13.802585
-0.14285714285714285,1,13.856787
-0.09375,1,13.909295
-0.14285714285714285,1,13.964768
-0.0625,1,14.012545
-0.17857142857142858,1,14.05276
-0.047619047619047616,1,14.11305
-0.14814814814814814,1,14.156211
-0.07936507936507936,1,14.194077
-0.05555555555555555,1,14.248497
-0.0625,1,14.292602
-0.14285714285714285,1,14.332406
-0.0625,1,14.390968
-0.14285714285714285,1,14.448607
-0.047619047619047616,1,14.497702
-0.14814814814814814,1,14.546548
-0.125,1,14.600242
-0.1,1,14.6562
-0.125,1,14.719826
-0.14285714285714285,1,14.763456
-0.2,1,14.820269
-0.2,1,14.889525
-0.1111111111111111,1,14.940867
-0.2,1,14.988312
-0.16666666666666666,1,15.041535
-0.14285714285714285,1,15.090161
-0.2222222222222222,1,15.133481
-0.09523809523809523,1,15.183707
-0.14285714285714285,1,15.22353
-0.21428571428571427,1,15.267413
-0.1875,1,15.317493
-0.15,1,15.365055
-0.1875,1,15.408844
-0.16666666666666666,1,15.470258
-0.1875,1,15.522469
-0.15,1,15.568123
-0.2,1,15.615203
-0.2,1,15.659381
-0.16666666666666666,1,15.710522
-0.2,1,15.767524
-0.28,1,15.823029
-0.13333333333333333,1,15.872977
-0.2,1,15.939313
-0.2,1,15.989326
-0.14285714285714285,1,16.045542
-0.15,1,16.102061
-0.14285714285714285,1,16.143801
-0.14285714285714285,1,16.1862
-0.16666666666666666,1,16.241095
-0.2,1,16.291889
-0.12,1,16.33684
-0.2,1,16.394862
-0.2,1,16.446533
-0.4,1,16.492271
-0.2,1,16.549605
-0.2,1,16.594309
-0.14285714285714285,1,16.636554
-0.13333333333333333,1,16.68521
-0.16666666666666666,1,16.733658
-0.2,1,16.776172
-0.2,1,16.842653
-0.09523809523809523,1,16.897913
-0.16666666666666666,1,16.954622
-0.14285714285714285,1,17.01137
-0.14285714285714285,1,17.061862
-0.07142857142857142,1,17.126687
-0.09375,1,17.198956
-0.07142857142857142,1,17.240494
-0.14285714285714285,1,17.284311
-0.19047619047619047,1,17.337461
-0.125,1,17.379853
-0.10714285714285714,1,17.424067
-0.07936507936507936,1,17.469992
-0.10714285714285714,1,17.517363
-0.10204081632653061,1,17.563607
-0.14285714285714285,1,17.609343
-0.16666666666666666,1,17.656395
-0.14285714285714285,1,17.694535
-0.14285714285714285,1,17.741332
-0.2,1,17.786843
-0.14285714285714285,1,17.829767
-0.2,1,17.880145
-0.2571428571428571,1,17.924177
-0.26666666666666666,1,17.964787
-0.28,1,18.026314
-0.2,1,18.072463
-0.28,1,18.122759
-0.06666666666666667,1,18.17401
-0.2,1,18.217557
-0.3,1,18.259903
-0.375,1,18.303806
-0.3,1,18.355953
-0.16666666666666666,1,18.39818
-0.13333333333333333,1,18.443041
-0.2,1,18.486851
-0.5,1,18.52825
-0.2,1,18.581789
-0.1,1,18.622602
-0.25,1,18.672456
-0.2,1,18.730594
-0.25,1,18.782881
-0.5,1,18.826497
-0.3333333333333333,1,18.882816
-0.2,1,18.931589
-0.3333333333333333,1,18.982909
-0.3333333333333333,1,19.038145
-0.3333333333333333,1,19.091777
-0.3333333333333333,1,19.132476
-0.16666666666666666,1,19.180574
-0.2222222222222222,1,19.227346
-0.4666666666666667,1,19.266478
-0.1,1,19.311613
-0.25,1,19.354771
-0.5,1,22.279433
-0.5555555555555556,1,22.338222
-0.3333333333333333,1,22.385289
-0.2,1,22.440029
-0.5,1,22.496664
-0.75,1,22.552501
-0.5,1,22.603624
-0.5,1,22.664323
-0.3,1,22.710854
-0.16666666666666666,1,22.755943
-0.3,1,22.809057
-0.16666666666666666,1,22.872332
-0.26666666666666666,1,22.917558
-0.1111111111111111,1,22.969835
-0.14285714285714285,1,23.014437
-0.08571428571428572,1,23.05662
-0.13333333333333333,1,23.115317
-0.2,1,23.162409
-0.26666666666666666,1,23.210327
-0.12,1,23.261944
-0.2,1,23.310162
-0.2,1,23.352237
-0.2,1,23.407873
-0.16666666666666666,1,23.460527
-0.3,1,23.510722
-0.25,1,23.566786
-0.2857142857142857,1,23.611805
-0.2,1,23.652713
-0.21428571428571427,1,23.719065
-0.16666666666666666,1,23.764778
-0.13333333333333333,1,23.807951
-0.16666666666666666,1,23.859341
-0.3333333333333333,1,23.920191
-0.5,1,23.965163
-0.3333333333333333,1,24.023267
-0.25,1,24.072602
-0.2,1,24.121953
-0.2,1,24.171164
-0.06666666666666667,1,24.219351
-0.08571428571428572,1,24.260566
