#{"t_start": 1758436650.4032452, "env_id": "None"}
r,l,t
-1.0,1,0.051993
-1.0,1,0.267355
-1.0,1,0.440758
-0.8001416373429873,1,0.602154
-0.7303337480094105,1,0.723238
-0.5843704409390904,1,0.844492
-0.6730653916983106,1,0.948963
-0.8001416373429873,1,1.061832
-0.6730653916983106,1,1.180201
-0.6730653916983106,1,1.292437
-0.7584798145878787,1,1.407314
-0.5292487229148221,1,1.526402
-0.5539434057774484,1,1.641177
-0.3705446858880465,1,1.753186
-0.27659492772879657,1,1.870249
-0.40775944676158765,1,1.986889
-0.28725451900790727,1,2.092468
-0.28725451900790727,1,2.237954
-0.2276419768074094,1,2.354272
-0.2213151183536845,1,2.586103
-0.24940080414896545,1,2.685408
-0.1995559677864109,1,2.783333
-0.15321793628685676,1,2.887583
-0.19334107535316689,1,2.998082
-0.17957378664846624,1,3.094819
-0.19334107535316689,1,3.206067
-0.15590998167367187,1,3.311457
-0.13345308635086783,1,3.411786
-0.15590998167367187,1,3.513824
-0.20732383933725498,1,3.619199
-0.21347771768539842,1,3.731613
-0.1821458240506749,1,3.849222
-0.15814308212628614,1,3.976264
-0.16002550080663916,1,4.103676
-0.13302724236319202,1,4.225919
-0.1821458240506749,1,4.329857
-0.1821458240506749,1,4.431823
-0.1821458240506749,1,4.53497
-0.1821458240506749,1,4.632529
-0.1457424578910947,1,4.731793
-0.11386632126781128,1,4.867913
-0.10644063551570687,1,4.979982
-0.15590998167367187,1,5.084652
-0.17746141675251292,1,5.189582
-0.15590998167367187,1,5.316378
-0.08251515869046415,1,5.435298
-0.10493761288486637,1,5.541678
-0.12259605041087906,1,5.645113
-0.13302724236319202,1,5.763726
-0.1457424578910947,1,5.875669
-0.15814308212628614,1,5.976639
-0.20732383933725498,1,6.147613
-0.17957378664846624,1,6.273897
-0.1457424578910947,1,6.373615
-0.1821458240506749,1,6.488764
-0.1821458240506749,1,6.607345
-0.17957378664846624,1,6.732049
-0.1678630499343971,1,6.847313
-0.1821458240506749,1,6.98993
-0.14990887864280003,1,7.118601
-0.24940080414896545,1,7.217563
-0.1995559677864109,1,7.316077
-0.21347771768539842,1,7.438395
-0.15590998167367187,1,7.548336
-0.15814308212628614,1,7.658296
-0.1821458240506749,1,7.784746
-0.1821458240506749,1,7.908067
-0.11661460888737188,1,8.015356
-0.24940080414896545,1,8.12463
-0.19443796109635683,1,8.234762
-0.20351041338171258,1,8.330835
-0.16643158913577513,1,8.431175
-0.20351041338171258,1,8.554569
-0.2523694874850483,1,8.684252
-0.234398947142716,1,8.794648
-0.19443796109635683,1,8.930324
-0.1616338998783927,1,9.044668
-0.19443796109635683,1,9.148552
-0.1921507403203394,1,9.266946
-0.19443796109635683,1,9.378828
-0.1369758160974475,1,9.488119
-0.1457424578910947,1,9.589344
-0.1616338998783927,1,9.689186
-0.2165353614800345,1,9.794583
-0.234398947142716,1,9.897795
-0.2165353614800345,1,10.011869
-0.2213151183536845,1,10.101793
-0.1995559677864109,1,10.225305
-0.21347771768539842,1,10.326716
-0.1821458240506749,1,10.433207
-0.15590998167367187,1,10.55513
-0.17746141675251292,1,10.651006
-0.17957378664846624,1,10.747766
-0.20979166949968536,1,10.856182
-0.11386632126781128,1,10.964066
-0.13345308635086783,1,11.068687
-0.1756955200056575,1,11.162855
-0.1369758160974475,1,11.25221
-0.15590998167367187,1,11.355261
-0.13345308635086783,1,11.458549
-0.1311487966472166,1,11.563024
-0.1678630499343971,1,11.671726
-0.15590998167367187,1,11.781228
-0.1457424578910947,1,11.888038
-0.10493761288486637,1,12.025747
-0.10983398950015748,1,12.11604
-0.15590998167367187,1,12.231278
-0.19827655380427844,1,12.363966
-0.1353645364346518,1,12.484667
-0.09649542758918235,1,12.614796
-0.15435854060846393,1,12.754165
-0.10644063551570687,1,12.879321
-0.15590998167367187,1,13.012346
-0.10644063551570687,1,13.131437
-0.15590998167367187,1,13.252019
-0.10644063551570687,1,13.372642
-0.1353645364346518,1,13.488097
-0.13345308635086783,1,13.617315
-0.15590998167367187,1,13.734777
-0.1457424578910947,1,13.848818
-0.13302724236319202,1,13.964137
-0.1678630499343971,1,14.084298
-0.15590998167367187,1,14.195261
-0.1283163676341942,1,14.307151
-0.20979166949968536,1,14.424294
-0.19334107535316689,1,14.526685
-0.15590998167367187,1,14.622832
-0.19334107535316689,1,14.71735
-0.1311487966472166,1,14.834028
-0.1678630499343971,1,14.938379
-0.1756955200056575,1,15.036252
-0.09649542758918235,1,15.134415
-0.10104353293436985,1,15.231933
-0.09649542758918235,1,15.339238
-0.1369758160974475,1,15.441453
-0.08477673976875603,1,15.544544
-0.11892547000356794,1,15.661077
-0.1369758160974475,1,15.760304
-0.15435854060846393,1,15.892616
-0.1457424578910947,1,16.019749
-0.11892547000356794,1,16.120742
-0.1265368646669931,1,16.227646
-0.1353645364346518,1,16.340074
-0.15590998167367187,1,16.430057
-0.1353645364346518,1,16.540348
-0.17746141675251292,1,16.65976
-0.15590998167367187,1,16.773994
-0.11724615202568602,1,16.877697
-0.11892547000356794,1,16.979832
-0.1369758160974475,1,17.097561
-0.10003806115709657,1,17.209892
-0.10300743535213776,1,17.321296
-0.10003806115709657,1,17.453466
-0.1457424578910947,1,17.590534
-0.11386632126781128,1,17.72214
-0.15590998167367187,1,17.854065
-0.17957378664846624,1,17.989552
-0.1678630499343971,1,18.11491
-0.17957378664846624,1,18.219864
-0.17746141675251292,1,18.336071
-0.11386632126781128,1,18.455455
-0.13345308635086783,1,18.561279
-0.20236234707937942,1,18.667237
-0.14120351220684824,1,18.781175
-0.1821458240506749,1,18.891951
-0.1821458240506749,1,18.992485
-0.10493761288486637,1,19.097208
-0.09809420450754418,1,19.201732
-0.1369758160974475,1,19.31279
-0.1369758160974475,1,19.417527
-0.10003806115709657,1,19.521544
-0.1457424578910947,1,19.644265
-0.15435854060846393,1,19.763554
-0.1369758160974475,1,19.878183
-0.13835254527094354,1,19.980693
-0.15590998167367187,1,20.072317
-0.12012077709273442,1,20.184396
-0.10493761288486637,1,20.288275
-0.14120351220684824,1,20.389744
-0.10493761288486637,1,20.498065
-0.13835254527094354,1,20.622791
-0.11724615202568602,1,20.744551
-0.15776581917228374,1,20.858145
-0.1891654756889752,1,20.960326
-0.17957378664846624,1,21.071596
-0.12259605041087906,1,21.217812
-0.15814308212628614,1,21.336707
-0.1821458240506749,1,21.44767
-0.15814308212628614,1,21.567713
-0.1457424578910947,1,21.670279
-0.1369758160974475,1,21.772882
-0.1821458240506749,1,21.876841
-0.1369758160974475,1,21.985643
-0.1293300132988296,1,22.114528
-0.13835254527094354,1,22.224995
-0.11724615202568602,1,22.326503
-0.1152217020238689,1,22.446959
-0.11724615202568602,1,22.553086
-0.1353645364346518,1,22.648815
-0.08462154910369077,1,22.758751
-0.11386632126781128,1,22.889185
-0.11724615202568602,1,23.007058
-0.15590998167367187,1,23.118657
-0.1265368646669931,1,23.224277
-0.11386632126781128,1,23.331562
-0.1265368646669931,1,23.422708
-0.11386632126781128,1,23.523673
-0.15590998167367187,1,23.621708
-0.09110918473744914,1,23.746448
-0.12259605041087906,1,23.87324
-0.20526078529355926,1,23.980799
-0.16002550080663916,1,24.080821
-0.1821458240506749,1,24.191502
-0.1821458240506749,1,24.314029
-0.1628371553795917,1,24.446089
-0.16002550080663916,1,24.561441
-0.1616338998783927,1,24.694614
-0.08704755605932446,1,24.815397
-0.15590998167367187,1,24.938038
-0.12259605041087906,1,25.052599
-0.12259605041087906,1,25.185109
-0.11661460888737188,1,25.313286
-0.12475006801448693,1,25.424578
-0.12259605041087906,1,25.524414
-0.10644063551570687,1,25.652006
-0.09445407334264114,1,25.77441
-0.10104353293436985,1,25.878921
-0.14895954682348064,1,25.985472
-0.17778686996840123,1,26.103017
-0.1369758160974475,1,26.216424
-0.11892547000356794,1,26.316436
