#{"t_start": 1758752073.460015, "env_id": "None"}
r,l,t
-1.0,1,0.096272
-0.44118946652222835,1,0.316797
-0.6196108731341148,1,0.501225
-0.7120428088852031,1,0.693765
-0.44118946652222835,1,0.875909
-0.5741565032598018,1,1.072001
-0.547143131201116,1,1.234309
-0.5292462771116095,1,1.357412
-0.44118946652222835,1,1.485658
-0.5677067449656841,1,1.620961
-0.49962391005312623,1,1.730488
-0.35575361230043606,1,1.834399
-0.2733657905694122,1,1.960168
-0.2733657905694122,1,2.072455
-0.2100578964480922,1,2.181582
-0.20123031629349514,1,2.288316
-0.14957021461541672,1,2.405017
-0.18955205267947073,1,2.508182
-0.1854901845327236,1,2.599522
-0.12060610730674616,1,2.719386
-0.07725586694180477,1,2.829931
-0.10053947744778335,1,2.9359
-0.09725086747443287,1,3.041884
-0.08587671141540577,1,3.155619
-0.09267533127271528,1,3.252963
-0.05896644636745675,1,3.356846
-0.07673793511634044,1,3.461529
-0.10650039574032397,1,3.559444
-0.07673793511634044,1,3.67714
-0.08587671141540577,1,3.801673
-0.04198663410146258,1,3.917367
-0.07472885545363973,1,4.047219
-0.060257694908883434,1,4.149393
-0.03788790049604623,1,4.256325
-0.04198663410146258,1,4.363235
-0.06924678084301783,1,4.486723
-0.07813357655684076,1,4.630059
-0.04841241359147531,1,4.740681
-0.06300309552075019,1,4.85939
-0.06513359176887838,1,4.976261
-0.08848217373248925,1,5.109275
-0.14957021461541672,1,5.216202
-0.12468449197966662,1,5.332768
-0.0810701183842636,1,5.433286
-0.07472885545363973,1,5.540169
-0.062295353405868684,1,5.646926
-0.10053947744778335,1,5.754305
-0.05500948450010417,1,5.878639
-0.07915947925199375,1,5.988377
-0.057725394810987006,1,6.089728
-0.06758154724497838,1,6.187685
-0.10053947744778335,1,6.305289
-0.06300309552075019,1,6.425388
-0.044356958419611146,1,6.525149
-0.050231926837159616,1,6.638495
-0.07472885545363973,1,6.746103
-0.06003887574706796,1,6.85393
-0.053210144141985966,1,6.971055
-0.032969583871408026,1,7.089745
-0.08587671141540577,1,7.191025
-0.10053947744778335,1,7.302605
-0.08587671141540577,1,7.427571
-0.09516690058906287,1,7.547146
-0.07472885545363973,1,7.64616
