#{"t_start": 1750602910.4254184, "env_id": "None"}
r,l,t
-4271.212474,95075,153.99814
-160.028009,4325,162.590176
-558.735571,20017,206.663409
-230.857664,2961,212.404955
-166.576832,1633,215.686894
-156.608761,2359,222.508126
-333.795143,4887,231.601857
-89.857568,647,232.607951
-113.177534,763,234.165714
-271.127585,2655,238.96561
-225.619506,4219,247.249167
-77.143401,1197,249.276418
-215.115848,4509,257.00212
-136.50051,1047,258.666762
-154.411303,3441,264.950147
-177.029322,4173,273.022804
-345.390736,11491,301.467274
-149.298154,1951,305.278734
-183.260995,5061,315.859859
-258.462398,7637,338.324698
-316.435482,9297,359.920503
-128.456144,3653,368.690763
-230.201027,6807,384.736948
-113.952814,2659,390.220741
-215.759802,3941,400.219177
-98.297391,1589,411.046976
-137.816219,2591,422.743498
-396.937697,10423,445.576268
-166.922015,4511,454.853624
