#{"t_start": 1748183726.3099203, "env_id": "None"}
r,l,t
-8.694444,17,0.041123
-33.638889,69,0.078651
-9.861111,19,0.084772
-16.083333,43,0.116421
-21.472222,37,0.127754
-24.055556,41,0.161819
-7.388889,17,0.167254
-16.333333,35,0.191653
-17.694444,35,0.204151
-7.694444,19,0.223208
-2.5,7,0.226809
-9.277778,21,0.233861
-4.833333,13,0.23812
-15.611111,25,0.258845
-4.277778,9,0.262121
-35.388889,69,0.317035
-8.027778,15,0.322446
-20.944444,47,0.370977
-9.805556,19,0.37703
-5.25,7,0.379637
-9.5,11,0.383345
-35.277778,69,0.441116
-6.111111,11,0.445119
-13.166667,29,0.454123
-7.666667,11,0.457875
-6.027778,15,0.482113
-10.916667,19,0.488424
-12.333333,25,0.496621
-8.166667,11,0.500738
-8.222222,17,0.520514
-9.888889,27,0.529133
-3.083333,7,0.53213
-9.694444,21,0.546791
-5.75,11,0.551527
-11.583333,21,0.558096
-3.0,9,0.561198
-5.166667,9,0.564197
-5.083333,9,0.567525
-11.083333,19,0.585071
-8.25,17,0.593396
-2.916667,9,0.596677
-2.861111,7,0.599606
-3.333333,9,0.602761
-5.388889,13,0.615167
-2.833333,7,0.617717
-7.194444,19,0.624252
-12.444444,29,0.691836
-9.444444,19,0.703248
-7.805556,17,0.70855
-5.833333,15,0.713248
-5.25,7,0.716039
-6.0,7,0.732586
-4.194444,15,0.738333
-5.083333,9,0.742229
-2.916667,7,0.744939
-5.75,9,0.748086
-4.5,9,0.750951
-3.361111,11,0.754544
-4.75,15,0.769068
-4.277778,9,0.774831
-6.75,21,0.781094
-4.972222,15,0.785892
-9.972222,17,0.800319
-3.194444,7,0.8038
-8.833333,21,0.810292
-3.25,5,0.812276
-8.444444,19,0.818001
-15.305556,25,0.832195
-3.583333,7,0.834842
-5.583333,15,0.840745
-12.527778,21,0.864763
-8.5,11,0.868691
-6.194444,19,0.875026
-7.833333,11,0.878802
-11.027778,21,0.901084
-3.5,13,0.90588
-4.388889,13,0.910707
-2.583333,7,0.913675
-7.972222,17,0.918932
-3.861111,13,0.923295
-5.75,13,0.941629
-8.861111,17,0.947101
-7.666667,17,0.952206
-4.416667,15,0.957067
-4.416667,9,0.970989
-3.972222,9,0.974396
-7.25,9,0.977705
-5.666667,13,0.982215
-5.361111,11,0.986043
-4.333333,11,0.989531
-4.0,5,1.002864
-4.0,5,1.005161
-8.055556,19,1.011073
-3.666667,7,1.013773
-7.527778,15,1.019038
-2.666667,7,1.021734
-9.0,17,1.038965
-3.666667,7,1.042453
-4.861111,17,1.048419
-4.666667,13,1.052879
-6.083333,9,1.056203
-2.083333,5,1.058228
-4.0,9,1.074295
-3.25,5,1.076309
-3.0,7,1.079462
-2.666667,7,1.082305
-3.277778,9,1.085873
-4.5,11,1.089608
-6.666667,15,1.094555
-8.833333,11,1.114644
-3.0,9,1.118185
-3.805556,11,1.125226
-6.0,9,1.128509
-5.25,11,1.132038
-3.25,5,1.13411
-3.416667,7,1.136798
-3.75,9,1.148148
-3.333333,7,1.153529
-5.083333,13,1.158389
-4.611111,13,1.163156
-3.083333,9,1.166573
-4.0,5,1.168702
-3.916667,9,1.172083
-2.666667,7,1.174886
-5.333333,11,1.18735
-3.75,9,1.190462
-4.583333,15,1.195342
-5.25,7,1.198142
-6.777778,15,1.20292
-5.75,11,1.226106
-3.194444,7,1.229308
-5.027778,15,1.278476
-2.694444,7,1.281168
-3.75,7,1.283775
-4.0,9,1.287047
-4.75,13,1.290808
-4.416667,9,1.31777
-2.916667,7,1.323642
-5.444444,15,1.33039
-3.75,7,1.333289
-3.361111,9,1.336225
-5.083333,9,1.339179
-3.416667,7,1.341738
-3.25,5,1.35484
-3.277778,9,1.361804
-4.083333,13,1.366558
-2.361111,7,1.369487
-4.888889,15,1.374911
-3.083333,7,1.377792
-3.916667,9,1.380959
-10.944444,19,1.395085
-4.777778,13,1.399814
-3.416667,9,1.402987
-3.416667,11,1.406707
-3.833333,9,1.409889
-4.25,13,1.421303
-7.027778,19,1.428751
-4.083333,11,1.432459
-4.527778,9,1.435641
-3.5,9,1.439064
-4.833333,11,1.46495
-4.916667,13,1.473149
-4.833333,11,1.47748
-5.694444,19,1.484165
-2.583333,7,1.487504
-3.666667,9,1.490809
-2.833333,7,1.501831
-4.0,13,1.506215
-4.111111,11,1.510598
-2.916667,5,1.512974
-3.722222,11,1.51706
-2.083333,5,1.51942
-3.833333,9,1.522881
-5.027778,13,1.538743
-3.361111,9,1.541951
-6.333333,15,1.547048
