#{"t_start": 1759645832.431881, "env_id": "None"}
r,l,t
-1.0,1,0.061005
-1.0,1,0.174881
-1.0,1,0.202794
-1.0,1,0.225673
-0.8940604743495757,1,0.242992
-0.8590313018936067,1,0.270198
-0.7859713625714685,1,0.290896
-0.7859713625714685,1,0.307988
-0.8180213313494151,1,0.327008
-0.7379347776330248,1,0.34759
-0.8180213313494151,1,0.36629
-0.7564973743416133,1,0.389713
-0.7859713625714685,1,0.411736
-0.7993441317941883,1,0.430003
-0.8180213313494151,1,0.459185
-0.8461366943796069,1,0.484194
-0.8590313018936067,1,0.506343
-0.8590313018936067,1,0.522896
-0.9149507833287467,1,0.543937
-0.8590313018936067,1,0.561646
-0.8180213313494151,1,0.581964
-0.8461366943796069,1,0.603937
-0.8180213313494151,1,0.621027
-0.8461366943796069,1,0.641787
-0.8180213313494151,1,0.660413
-0.8461366943796069,1,0.678073
-0.9149507833287467,1,0.698257
-0.8940604743495757,1,0.713957
-0.8940604743495757,1,0.733483
-0.8590313018936067,1,0.751538
-0.8180213313494151,1,0.776432
-0.8352925834608474,1,0.798095
-0.8590313018936067,1,0.8148
-0.7564973743416133,1,0.835639
-0.8180213313494151,1,0.856303
-0.9342685505345916,1,0.887562
-0.8590313018936067,1,0.945678
-0.7993441317941883,1,1.008267
-0.7859713625714685,1,1.032865
-0.7551771073786101,1,1.056793
-0.7598551684188988,1,1.076526
-0.7476104778582985,1,1.095607
-0.6854632431351518,1,1.116145
-0.7207273640466393,1,1.134408
-0.7859713625714685,1,1.157673
-0.8048393218156956,1,1.180892
-0.7944229562910846,1,1.197611
-0.775898332183698,1,1.21844
-0.7944229562910846,1,1.238379
-0.7749297584904841,1,1.257749
-0.7979490870986309,1,1.288259
-0.8253745678331978,1,1.322558
-0.7979490870986309,1,1.34547
-0.8304874778667507,1,1.366567
-0.8590313018936067,1,1.385178
-0.8304874778667507,1,1.409442
-0.8590313018936067,1,1.428198
-0.7749297584904841,1,1.446774
-0.7979490870986309,1,1.467431
-0.8590313018936067,1,1.484256
-0.8304874778667507,1,1.506381
-0.775898332183698,1,1.526554
-0.5972244020791746,1,1.542126
-0.6527393745774724,1,1.563901
-0.6854632431351518,1,1.582887
-0.6339090727426665,1,1.605219
-0.7379347776330248,1,1.625123
-0.6897094508934768,1,1.64168
-0.7598551684188988,1,1.663055
-0.7379347776330248,1,1.685437
-0.7300841422973506,1,1.704108
-0.7425060284029299,1,1.728492
-0.7859713625714685,1,1.75127
-0.7425060284029299,1,1.768566
-0.7859713625714685,1,1.792954
-0.8664489772754711,1,1.814526
-0.8590313018936067,1,1.832211
-0.8253745678331978,1,1.855155
-0.7859713625714685,1,1.886605
-0.775898332183698,1,1.913177
-0.7027059292458295,1,1.935891
-0.7379347776330248,1,1.95768
-0.6952300815612682,1,1.98114
-0.775898332183698,1,2.004887
-0.7484492578977716,1,2.032885
-0.7027059292458295,1,2.062259
-0.7484492578977716,1,2.089332
-0.8253745678331978,1,2.111538
-0.8590313018936067,1,2.135947
-0.8664489772754711,1,2.165402
-0.7859713625714685,1,2.187757
-0.7191251138587276,1,2.208421
-0.7300841422973506,1,2.230874
-0.7859713625714685,1,2.251365
-0.8461366943796069,1,2.270491
-0.7859713625714685,1,2.292535
-0.8180213313494151,1,2.312394
-0.7859713625714685,1,2.333097
-0.7859713625714685,1,2.354333
-0.7859713625714685,1,2.372564
-0.7859713625714685,1,2.392636
-0.7551771073786101,1,2.416618
-0.8093186826006653,1,2.451773
-0.775898332183698,1,2.481313
-0.7859713625714685,1,2.499677
-0.7993441317941883,1,2.532512
-0.8461366943796069,1,2.561524
-0.7859713625714685,1,2.584617
-0.8180213313494151,1,2.615127
-0.8048393218156956,1,2.640704
-0.7484492578977716,1,2.658928
-0.8253745678331978,1,2.688679
-0.7191251138587276,1,2.716494
-0.7859713625714685,1,2.739185
-0.8180213313494151,1,2.768069
-0.8253745678331978,1,2.790375
-0.8180213313494151,1,2.811526
-0.8253745678331978,1,2.84435
-0.8180213313494151,1,2.870922
-0.8461366943796069,1,2.897377
-0.8371349359138872,1,2.930053
-0.8940604743495757,1,2.961058
-0.8791031312990977,1,2.983665
-0.8461366943796069,1,3.010315
-0.9522602139714919,1,3.04253
-0.8940604743495757,1,3.069004
-0.9149507833287467,1,3.101485
-0.8461366943796069,1,3.12755
-0.8940604743495757,1,3.149444
-0.8352925834608474,1,3.183677
-0.8180213313494151,1,3.212826
-0.8352925834608474,1,3.23785
-0.7859713625714685,1,3.264515
-0.7425060284029299,1,3.288535
-0.7484492578977716,1,3.307246
-0.7859713625714685,1,3.33106
-0.8590313018936067,1,3.352682
-0.9691167456047178,1,3.368211
-0.8180213313494151,1,3.384733
