r,l,t
-1.0,1,0.035265
-1.0,1,0.065503
-1.0,1,0.069566
-1.0,1,0.073049
-0.6666666666666666,1,0.076169
-1.0,1,0.079347
-0.6666666666666666,1,0.082373
-1.0,1,0.085423
-0.3333333333333333,1,0.088569
-0.3333333333333333,1,0.091614
-0.6666666666666666,1,0.094767
-1.0,1,0.097862
-0.6666666666666666,1,0.100807
-0.3333333333333333,1,0.104209
-0.3333333333333333,1,0.107443
-0.5,1,0.110818
-1.0,1,0.114311
-1.0,1,0.117907
-1.0,1,0.121275
-0.5,1,0.124594
-0.3333333333333333,1,0.127932
-0.5,1,0.131195
-0.3333333333333333,1,0.134408
-0.1111111111111111,1,0.13784
-0.6666666666666666,1,0.141352
-0.25,1,0.144629
-0.16666666666666666,1,0.147834
-0.25,1,0.151152
-1.0,1,0.15411
-1.0,1,0.157307
-1.0,1,0.159913
-1.0,1,0.163409
-0.3333333333333333,1,0.166077
-0.5,1,0.168885
-1.0,1,0.171242
-1.0,1,0.173829
-1.0,1,0.176319
-1.0,1,0.178962
-0.3333333333333333,1,0.181329
-0.25,1,0.184201
-0.3333333333333333,1,0.187047
-1.0,1,0.189699
-0.6666666666666666,1,0.192166
-0.25,1,0.194662
-0.16666666666666666,1,0.197296
-0.1111111111111111,1,0.199741
-0.6666666666666666,1,0.202152
-1.0,1,0.204395
-0.3333333333333333,1,0.206759
-1.0,1,0.2091
-1.0,1,0.212201
-0.25,1,0.214779
-0.16666666666666666,1,0.217148
-0.3333333333333333,1,0.219754
-0.16666666666666666,1,0.222023
-0.25,1,0.22436
-0.16666666666666666,1,0.226596
-0.25,1,0.231974
-0.16666666666666666,1,0.235732
-0.25,1,0.238497
-1.0,1,0.240918
-1.0,1,0.243334
0.0,1,0.24599
-1.0,1,0.249099
-0.5,1,0.25139
-1.0,1,0.253998
-1.0,1,0.2564
-0.6666666666666666,1,0.258903
-0.3333333333333333,1,0.261293
-0.16666666666666666,1,0.26355
-0.25,1,0.265941
-1.0,1,0.268234
-0.25,1,0.270661
-0.6666666666666666,1,0.273127
-0.5,1,0.275882
-0.3333333333333333,1,0.278129
-0.1111111111111111,1,0.280571
-0.16666666666666666,1,0.282922
-0.25,1,0.285283
-1.0,1,0.287659
-1.0,1,0.29004
0.0,1,0.292628
-1.0,1,0.295079
-1.0,1,0.297472
-1.0,1,0.299869
-0.25,1,0.302139
0.0,1,0.304466
-1.0,1,0.307082
-0.5,1,0.309688
-0.6666666666666666,1,0.312147
-0.25,1,0.314513
-0.6666666666666666,1,0.317227
-0.25,1,0.319723
-0.16666666666666666,1,0.322655
-0.1111111111111111,1,0.325722
-0.6666666666666666,1,0.332202
-1.0,1,0.335786
-1.0,1,0.341388
-0.5,1,0.344888
-1.0,1,0.348889
-1.0,1,0.353129
-0.6666666666666666,1,0.357201
-0.1111111111111111,1,0.359959
-0.16666666666666666,1,0.362794
-0.25,1,0.365214
-0.3333333333333333,1,0.367667
-1.0,1,0.370548
-1.0,1,0.373019
-0.5,1,0.375409
-0.3333333333333333,1,0.377804
-0.3333333333333333,1,0.380058
-0.16666666666666666,1,0.382572
-0.3333333333333333,1,0.385141
-0.16666666666666666,1,0.387771
-0.3333333333333333,1,0.390414
-0.16666666666666666,1,0.393162
-0.3333333333333333,1,0.395644
0.0,1,0.398347
-1.0,1,0.401629
-0.5,1,0.40415
-0.3333333333333333,1,0.406887
-0.5,1,0.409792
-0.6666666666666666,1,0.412545
-0.1111111111111111,1,0.415137
-0.6666666666666666,1,0.418793
-0.3333333333333333,1,0.464357
-0.16666666666666666,1,0.471792
-0.25,1,0.476523
-0.16666666666666666,1,0.481006
-0.25,1,0.486553
-0.16666666666666666,1,0.491338
-0.3333333333333333,1,0.495691
-0.3333333333333333,1,0.498656
-0.1111111111111111,1,0.501571
-0.16666666666666666,1,0.504149
-0.25,1,0.507047
-0.6666666666666666,1,0.509943
-0.1111111111111111,1,0.513132
-0.6666666666666666,1,0.516341
-1.0,1,0.519707
-1.0,1,0.522879
-1.0,1,0.525814
-0.6666666666666666,1,0.529006
-0.1111111111111111,1,0.532248
-0.6666666666666666,1,0.535089
-0.25,1,0.53797
-0.16666666666666666,1,0.540733
-0.3333333333333333,1,0.543794
0.0,1,0.546544
-1.0,1,0.549543
-1.0,1,0.552094
-0.6666666666666666,1,0.554454
-1.0,1,0.557052
-1.0,1,0.559794
-0.5,1,0.562421
-0.3333333333333333,1,0.565136
-0.3333333333333333,1,0.56871
-0.3333333333333333,1,0.571723
-1.0,1,0.574406
-1.0,1,0.57747
-1.0,1,0.579904
-1.0,1,0.582381
-1.0,1,0.584571
-0.6666666666666666,1,0.587083
-0.1111111111111111,1,0.589697
-0.3333333333333333,1,0.593803
-0.25,1,0.596391
-0.16666666666666666,1,0.602556
-0.3333333333333333,1,0.604993
-0.16666666666666666,1,0.607608
-0.25,1,0.610158
-0.16666666666666666,1,0.612442
-0.25,1,0.614623
-0.16666666666666666,1,0.616859
-0.3333333333333333,1,0.619155
-0.3333333333333333,1,0.62161
-0.3333333333333333,1,0.624482
-0.3333333333333333,1,0.626964
-0.25,1,0.629294
0.0,1,0.63163
-1.0,1,0.633953
-1.0,1,0.636189
-1.0,1,0.638746
-0.5,1,0.641392
-0.6666666666666666,1,0.643673
-0.25,1,0.646089
-1.0,1,0.648852
-1.0,1,0.651775
-1.0,1,0.654108
-1.0,1,0.656808
-1.0,1,0.659643
-0.5,1,0.662154
-0.6666666666666666,1,0.664451
-0.25,1,0.667006
0.0,1,0.669457
-1.0,1,0.672395
-1.0,1,0.675064
-0.6666666666666666,1,0.677508
-0.25,1,0.679795
-0.16666666666666666,1,0.68244
-0.25,1,0.68523
-0.16666666666666666,1,0.687753
-0.25,1,0.690207
-0.16666666666666666,1,0.692476
-0.1111111111111111,1,0.694707
-0.16666666666666666,1,0.697247
-0.25,1,0.69958
0.0,1,0.702739
-1.0,1,0.705606
-1.0,1,0.708293
-0.3333333333333333,1,0.710966
-0.5,1,0.713276
-1.0,1,0.71553
-0.5,1,0.718837
-0.3333333333333333,1,0.721911
-1.0,1,0.72467
