#{"t_start": 1759654812.0471315, "env_id": "None"}
r,l,t
-1.0,1,0.066019
-1.0,1,0.110934
-0.46501193331256047,1,0.1157
-0.32956107364258863,1,0.123318
-0.2701009557006991,1,0.128224
-0.32956107364258863,1,0.133428
-0.2701009557006991,1,0.138508
-0.41165541611809403,1,0.143649
-0.708715303916883,1,0.148511
-0.5808473640162459,1,0.153651
-0.46501193331256047,1,0.158583
-0.23710607992967597,1,0.163455
-0.12560016759995235,1,0.168647
-0.2701009557006991,1,0.17378
-0.23710607992967597,1,0.178685
-0.2701009557006991,1,0.183724
-0.12560016759995235,1,0.1887
-0.12560016759995235,1,0.194373
-0.05452905348458925,1,0.199828
-0.07295452627043103,1,0.207365
-0.17722231607782887,1,0.213075
-0.1452474845255118,1,0.21935
-0.08241049182548088,1,0.225099
-0.1452474845255118,1,0.229919
-0.10293911513866084,1,0.235098
-0.12560016759995235,1,0.240696
-0.17722231607782887,1,0.24596
-0.12560016759995235,1,0.251917
-0.09387845561964901,1,0.257234
-0.04075713771210304,1,0.262539
-0.06653309820572716,1,0.267778
-0.12560016759995235,1,0.282478
-0.17722231607782887,1,0.296049
-0.19142468090766152,1,0.302108
-0.12560016759995235,1,0.311378
-0.08901476095261167,1,0.317166
-0.12560016759995235,1,0.323149
-0.025356660582572865,1,0.32878
-0.03864557471263064,1,0.333836
-0.04075713771210304,1,0.338618
-0.0436546021440904,1,0.343474
-0.07694070268162903,1,0.348266
-0.09387845561964901,1,0.353183
-0.07295452627043103,1,0.360034
-0.09387845561964901,1,0.365034
-0.07694070268162903,1,0.3701
-0.1430782598024351,1,0.375176
-0.04786791694411295,1,0.380204
-0.17722231607782887,1,0.385607
-0.08901476095261167,1,0.390739
-0.09387845561964901,1,0.395701
-0.16804070749790104,1,0.400955
-0.12560016759995235,1,0.406045
-0.04786791694411295,1,0.41089
-0.06653309820572716,1,0.415482
-0.08901476095261167,1,0.420437
-0.06653309820572716,1,0.425306
-0.059536133502798974,1,0.430432
-0.06653309820572716,1,0.435151
-0.07694070268162903,1,0.440229
-0.2701009557006991,1,0.445474
-0.5297214126149972,1,0.450797
-0.7474389358990363,1,0.455412
-0.708715303916883,1,0.460135
-0.6561336135152749,1,0.498185
-0.708715303916883,1,0.508105
-0.6561336135152749,1,0.513306
-0.5808473640162459,1,0.518477
-0.46501193331256047,1,0.523953
-0.5808473640162459,1,0.529443
-0.708715303916883,1,0.534484
-0.3811134798528016,1,0.53945
-0.2701009557006991,1,0.544512
-0.5567128677315033,1,0.549531
-0.708715303916883,1,0.554706
-0.23710607992967597,1,0.559755
-0.6561336135152749,1,0.56463
-0.2701009557006991,1,0.569685
-0.2018839709142433,1,0.574626
-0.1568874281370199,1,0.579834
-0.12560016759995235,1,0.58528
-0.07814093426880943,1,0.590578
-0.07295452627043103,1,0.595443
-0.2018839709142433,1,0.600013
-0.1430782598024351,1,0.604519
-0.2018839709142433,1,0.608832
-0.1430782598024351,1,0.613189
-0.11118852131286618,1,0.617946
-0.10293911513866084,1,0.623163
-0.07295452627043103,1,0.627618
-0.0436546021440904,1,0.632125
-0.07295452627043103,1,0.636402
-0.014728349459642093,1,0.641138
-0.051703989257860745,1,0.645971
-0.10293911513866084,1,0.65118
-0.07295452627043103,1,0.655561
-0.10293911513866084,1,0.660267
-0.11118852131286618,1,0.664946
-0.05452905348458925,1,0.670386
-0.07295452627043103,1,0.675973
-0.09387845561964901,1,0.681104
-0.294902726715678,1,0.685541
-0.12560016759995235,1,0.690094
-0.12560016759995235,1,0.695073
-0.21623609812308522,1,0.699956
-0.2018839709142433,1,0.704336
-0.21623609812308522,1,0.70883
-0.2018839709142433,1,0.713252
-0.12560016759995235,1,0.717463
-0.06653309820572716,1,0.722237
-0.05452905348458925,1,0.726606
-0.11239140439669179,1,0.730611
-0.05452905348458925,1,0.736042
-0.2018839709142433,1,0.74218
-0.2018839709142433,1,0.746367
-0.2018839709142433,1,0.751088
-0.05452905348458925,1,0.755558
-0.11239140439669179,1,0.760335
-0.09387845561964901,1,0.764717
-0.08901476095261167,1,0.76978
-0.17722231607782887,1,0.774423
-0.1452474845255118,1,0.779228
-0.17722231607782887,1,0.783632
-0.1452474845255118,1,0.788803
-0.17722231607782887,1,0.793509
-0.04786791694411295,1,0.798864
-0.17722231607782887,1,0.803961
-0.07295452627043103,1,0.809039
-0.04786791694411295,1,0.843372
-0.3811134798528016,1,0.852921
-0.46501193331256047,1,0.858007
-0.2701009557006991,1,0.86328
-0.17722231607782887,1,0.868901
-0.2701009557006991,1,0.874201
-0.2701009557006991,1,0.879604
-0.07295452627043103,1,0.885316
-0.12560016759995235,1,0.890621
-0.1452474845255118,1,0.89582
-0.08241049182548088,1,0.901299
-0.09036432321625534,1,0.906463
-0.12560016759995235,1,0.911767
-0.08901476095261167,1,0.917773
-0.12560016759995235,1,0.923409
-0.12560016759995235,1,0.928576
-0.06653309820572716,1,0.933774
-0.08901476095261167,1,0.939325
-0.12560016759995235,1,0.951766
-0.19142468090766152,1,0.958206
-0.12560016759995235,1,0.965106
-0.1452474845255118,1,0.970908
-0.04786791694411295,1,0.978305
-0.04786791694411295,1,0.983381
-0.025356660582572865,1,0.99
-0.07295452627043103,1,0.994492
-0.12560016759995235,1,0.999216
-0.12560016759995235,1,1.003814
-0.04786791694411295,1,1.008554
-0.19142468090766152,1,1.01328
-0.12560016759995235,1,1.018401
-0.08901476095261167,1,1.023911
-0.12560016759995235,1,1.029125
-0.2121707782999857,1,1.033888
-0.12560016759995235,1,1.038359
-0.07694070268162903,1,1.042857
-0.06653309820572716,1,1.047754
-0.04786791694411295,1,1.054124
-0.09387845561964901,1,1.059896
-0.04075713771210304,1,1.064718
-0.025356660582572865,1,1.069045
-0.051703989257860745,1,1.073712
-0.05452905348458925,1,1.078239
-0.08161827951606576,1,1.083506
-0.06653309820572716,1,1.09042
-0.08901476095261167,1,1.096991
-0.17722231607782887,1,1.102698
-0.12560016759995235,1,1.109183
-0.17722231607782887,1,1.114196
-0.16804070749790104,1,1.11941
-0.17722231607782887,1,1.124412
-0.19142468090766152,1,1.129205
-0.1430782598024351,1,1.134007
-0.12560016759995235,1,1.140234
-0.12560016759995235,1,1.14527
-0.12560016759995235,1,1.150048
-0.09387845561964901,1,1.155347
-0.19142468090766152,1,1.162512
-0.2701009557006991,1,1.167471
-0.19142468090766152,1,1.17282
-0.17722231607782887,1,1.177717
-0.15407774270092822,1,1.182518
-0.12560016759995235,1,1.187133
-0.1452474845255118,1,1.193261
-0.2701009557006991,1,1.252486
-0.2701009557006991,1,1.257792
-0.2701009557006991,1,1.262894
-0.1568874281370199,1,1.267831
-0.17722231607782887,1,1.273363
-0.3811134798528016,1,1.278437
-0.21623609812308522,1,1.283755
-0.23710607992967597,1,1.288901
-0.21623609812308522,1,1.294028
-0.23710607992967597,1,1.299296
-0.21623609812308522,1,1.304483
-0.19142468090766152,1,1.310066
-0.2018839709142433,1,1.314882
-0.294902726715678,1,1.319814
-0.32956107364258863,1,1.326985
-0.294902726715678,1,1.333369
-0.32956107364258863,1,1.33883
-0.2701009557006991,1,1.343521
-0.32956107364258863,1,1.348092
-0.3811134798528016,1,1.353957
-0.708715303916883,1,1.358438
-0.5567128677315033,1,1.362993
-0.32956107364258863,1,1.367791
-0.12560016759995235,1,1.373192
